  108
      2     56      1     47
      2     57      6     55
      2     59     12     44
      2     60     17     46
      2     96     22     68
      2    118     29     64
      5     55     36     66
      5     56     43     76
      5     57     51     72
      5     60     59     43
      5    117     64     56
      5    118     70     62
      5    122     77     89
      5    123     86     93
      5    124     96     97
      2     81    106     51
      5    119    112     71
      2     64    120     26
      2     65    123     38
      2     66    127     17
      2     68    129     22
      2     69    132     26
      2     70    135     26
      2     83    138     39
      2     84    142     31
      2     85    146     39
      2     86    150     33
      2     87    154     38
      2     88    158     38
      2     89    162     38
      2     90    166     40
      5     59    170     66
      5     64    177     39
      5     65    181     68
      5     66    188     82
      5     67    197     69
      5     95    204     66
      5    103    211     79
      5    104    219     98
      5    105    229    105
      2     58    240     41
      2     61    245     17
      2     62    247     17
      2     67    249     17
      2     71    251     22
      2     72    254     34
      2     73    258     32
      2     74    262     32
      2     76    266     39
      2     77    270     37
      2     78    274     38
      2     79    278     22
      2    104    281     47
      5     74    286     63
      5     75    293     72
      5     77    301     54
      5     78    307     60
      5     79    313     61
      5     80    320     49
      5     81    325     50
      5     82    330     48
      5     83    335     49
      5     84    340     60
      5     86    346     69
      5     87    353     81
      5     88    362     69
      5     89    369     77
      5     91    377     42
      5     93    382     64
      5     96    389     75
      5     97    397     75
      5     98    405     76
      5     99    413     75
      2     80    421     73
      2     97    429     83
      5    108    438     76
      5    114    446     84
      5    127    455     56
      5    128    461     86
      5    129    470     93
      5    130    480     93
      5    131    490     93
      5    132    500    123
      5    133    513     77
      5    134    521     79
      5    135    529    127
      5    136    542    147
      5    137    557    150
      5    138    572    133
      5    139    586    147
      5    140    601    198
      5    141    621    149
      5    144    636     67
      5    145    643    128
      5    146    656    124
      5    147    669    122
      5    148    682     81
      5    149    691     91
      5    151    701    128
      5    152    714    127
      5    224    727    120
      5    225    739    140
      5    226    753    121
      5    227    766    119
      5    228    778    119
      5    229    790    130
      5    230    803    125
      5    231    816    114
